EBn,ALL,CHINA,INDIA,MEXICO,PHILIPPINES,state,date,CENTRALAMERICA,VIETNAM
1st,2016-1-1,2016-1-1,2016-1-1,2016-1-1,2016-1-1,final,2016-1-1,,
2nd,2016-1-1,2012-2-01,2008-2-01,2016-1-1,2016-1-1,final,2016-1-1,,
3rd,2015-10-01,2012-7-01,2004-5-15,2015-10-01,2007-11-01,final,2016-1-1,,
Other Workers,2015-10-01,2006-12-01,2004-5-15,2015-10-01,2007-11-01,final,2016-1-1,,
4th,2016-1-1,2016-1-1,2016-1-1,2016-1-1,2016-1-1,final,2016-1-1,,
Religious Workers,,,,,,final,2016-1-1,,
5th non-regional,2016-1-1,2014-1-08,2016-1-1,2016-1-1,2016-1-1,final,2016-1-1,,
5th regional,,,,,,final,2016-1-1,,
1st,2016-1-1,2016-1-1,2016-1-1,2016-1-1,2016-1-1,filing,2016-1-1,,
2nd,2016-1-1,2013-1-01,2009-7-01,2016-1-1,2016-1-1,filing,2016-1-1,,
3rd,2016-1-01,2013-10-01,2005-7-01,2016-1-01,2010-1-01,filing,2016-1-1,,
Other Workers,2016-1-01,2007-1-01,2005-7-01,2016-1-01,2010-1-01,filing,2016-1-1,,
4th,2016-1-1,2016-1-1,2016-1-1,2016-1-1,2016-1-1,filing,2016-1-1,,
Religious Workers,2016-1-1,2016-1-1,2016-1-1,2016-1-1,2016-1-1,filing,2016-1-1,,
5th non-regional,2016-1-1,2015-5-01,2016-1-1,2016-1-1,2016-1-1,filing,2016-1-1,,
5th regional,2016-1-1,2015-5-01,2016-1-1,2016-1-1,2016-1-1,filing,2016-1-1,,
1st,2016-2-1,2016-2-1,2016-2-1,2016-2-1,2016-2-1,final,2016-2-1,,
2nd,2016-2-1,2012-3-01,2008-8-01,2016-2-1,2016-2-1,final,2016-2-1,,
3rd,2015-10-01,2012-10-01,2004-6-15,2015-10-01,2008-1-08,final,2016-2-1,,
Other Workers,2015-10-01,2006-12-22,2004-6-15,2015-10-01,2008-1-08,final,2016-2-1,,
4th,2016-2-1,2016-2-1,2016-2-1,2016-2-1,2016-2-1,final,2016-2-1,,
Religious Workers,2016-2-1,2016-2-1,2016-2-1,2016-2-1,2016-2-1,final,2016-2-1,,
5th non-regional,2016-2-1,2014-1-15,2016-2-1,2016-2-1,2016-2-1,final,2016-2-1,,
5th regional,2016-2-1,2014-1-15,2016-2-1,2016-2-1,2016-2-1,final,2016-2-1,,
1st,2016-2-1,2016-2-1,2016-2-1,2016-2-1,2016-2-1,filing,2016-2-1,,
2nd,2016-2-1,2013-1-01,2009-7-01,2016-2-1,2016-2-1,filing,2016-2-1,,
3rd,2016-1-01,2013-10-01,2005-7-01,2016-1-01,2010-1-01,filing,2016-2-1,,
Other Workers,2016-1-01,2007-1-01,2005-7-01,2016-1-01,2010-1-01,filing,2016-2-1,,
4th,2016-2-1,2016-2-1,2016-2-1,2016-2-1,2016-2-1,filing,2016-2-1,,
Religious Workers,2016-2-1,2016-2-1,2016-2-1,2016-2-1,2016-2-1,filing,2016-2-1,,
5th non-regional,2016-2-1,2015-5-01,2016-2-1,2016-2-1,2016-2-1,filing,2016-2-1,,
5th regional,2016-2-1,2015-5-01,2016-2-1,2016-2-1,2016-2-1,filing,2016-2-1,,
1st,2016-3-1,2016-3-1,2016-3-1,2016-3-1,2016-3-1,final,2016-3-1,,
2nd,2016-3-1,2012-8-01,2008-10-15,2016-3-1,2016-3-1,final,2016-3-1,,
3rd,2016-1-01,2013-6-01,2004-7-15,2016-1-01,2008-3-15,final,2016-3-1,,
Other Workers,2016-1-01,2007-2-01,2004-7-15,2016-1-01,2008-3-15,final,2016-3-1,,
4th,2016-3-1,2016-3-1,2016-3-1,2016-3-1,2016-3-1,final,2016-3-1,,
